block identifier,block size,sequence within block,treatment,code
13,10,5,Group 3,NW3
13,10,6,Group 1,PB6
13,10,7,Group 4,UP1
13,10,8,Group 3,RR4
13,10,9,Group 1,EM6
13,10,10,Group 3,WW4
14,10,1,Group 2,XY8
14,10,2,Group 1,QX2
14,10,3,Group 3,BG4
14,10,4,Group 3,MO2
14,10,5,Group 1,CD3
14,10,6,Group 3,FE3
14,10,7,Group 4,QK2
14,10,8,Group 2,OX9
14,10,9,Group 3,PC1
14,10,10,Group 4,JD3
15,10,1,Group 2,US6
15,10,2,Group 3,QQ9
15,10,3,Group 4,UE6
15,10,4,Group 1,GG0
15,10,5,Group 3,OT9
15,10,6,Group 2,XM3
15,10,7,Group 3,MY6
15,10,8,Group 3,UQ7
15,10,9,Group 4,NW6
15,10,10,Group 1,PN4
16,10,1,Group 2,WP8
16,10,2,Group 1,UY9
16,10,3,Group 1,DV8
16,10,4,Group 3,VG7
16,10,5,Group 4,TJ0
16,10,6,Group 2,FS4
16,10,7,Group 3,HL7
16,10,8,Group 3,QI1
16,10,9,Group 4,TH9
16,10,10,Group 3,KJ1
17,10,1,Group 2,DG0
17,10,2,Group 4,SH1
17,10,3,Group 1,LZ4
17,10,4,Group 3,BA4
17,10,5,Group 1,QR6
17,10,6,Group 4,NF9
17,10,7,Group 3,FE8
17,10,8,Group 2,MH1
17,10,9,Group 3,GS6
17,10,10,Group 3,RA2
18,10,1,Group 3,KC6
18,10,2,Group 2,SX6
18,10,3,Group 1,IS2
18,10,4,Group 4,PQ5
18,10,5,Group 4,OX6
18,10,6,Group 3,TM3
18,10,7,Group 2,BU0
18,10,8,Group 3,OK8
18,10,9,Group 3,HH5
18,10,10,Group 1,IB3
19,10,1,Group 3,KC1
19,10,2,Group 3,QK4
19,10,3,Group 1,GQ7
19,10,4,Group 2,QV5
19,10,5,Group 4,FO9
19,10,6,Group 3,IL5
19,10,7,Group 1,BD1
19,10,8,Group 2,IH2
19,10,9,Group 4,SB3
19,10,10,Group 3,BG9
20,10,1,Group 3,YY8
20,10,2,Group 3,BA8
20,10,3,Group 3,US0
20,10,4,Group 1,HK7
20,10,5,Group 4,UZ6
20,10,6,Group 2,JD7
20,10,7,Group 2,AL3
20,10,8,Group 4,XW0
20,10,9,Group 3,VL4
20,10,10,Group 1,BY5
