id_person	id_response	StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	Q1.3	Q1.4	Q1.5	Q2.3	Q2.3_3_TEXT	Q2.4_1	Q2.4_12	Q2.4_2	Q2.4_13	Q2.4_3	Q2.4_4	Q2.4_5	Q2.4_6	Q2.4_7	Q2.4_8	Q2.4_9	Q2.4_11	Q2.4_10	Q2.4_10_TEXT	Q3.1_1	Q3.1_2	Q3.1_3	Q3.1_4	Q3.1_5	Q3.1_6	Q3.2	Q3.3	Q3.4	Q4.1_1	Q4.1_2	Q4.1_3	Q4.1_4	Q4.1_5	Q4.1_6	Q4.1_7	Q4.2_1	Q4.2_2	Q4.2_3	Q4.2_4	Q4.2_5	Q4.2_6	Q4.2_7	Q4.2_8	Q5.1_1	Q5.1_2	Q5.1_3	Q5.1_4	Q5.1_5	Q5.1_6	Q6.1	Q6.2	Q6.3_1	Q6.3_2	Q6.3_3	Q6.3_4	Q6.3_5	Q6.3_6	Q6.3_7	Q7.1	Q7.2	Q7.3
97	18	2021-05-18T20:30:45Z	2021-05-18T20:38:57Z	IP Address	100	492	TRUE	2021-05-18T20:38:58Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	Monday, May 17, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Strongly Disagree	Neither Agree nor Disagree	Agree	Somewhat Agree	Agree	Strongly Agree	No	Not appliciable	NA	Agree	Somewhat Agree	Agree	Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	More about data preparation	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	Answering my questions, he helped me and gave me a more direct and short answer, instead of google it	The instructor is knowledgeable and always cool answering  questions	Zoom crashed frequently, and at some parts the instructor was kind of fast
99	29	2021-07-01T11:34:05Z	2021-07-01T12:09:42Z	IP Address	100	2137	TRUE	2021-07-01T12:09:43Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	RN/PA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	Other, please describe	Nurse Practitioner. As noted before. If PA is specified as a profession, Nurse Practitioner should as well. This is a hidden bias that should be corrected.	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Strongly Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	no	none	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	Daniel Chen was able to quickly in real time check my screen (and others screens) to determine why my code was not working.	Working through the exercises in real time is key. I feel much more confident than I thought I would upon completion of the workshop.	It is difficult to listen while also trying to type code. Perhaps pause for typing and insuring code is entered correctly.
100	36	2021-07-06T15:06:42Z	2021-07-09T14:46:45Z	IP Address	100	258002	TRUE	2021-07-09T14:46:46Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Human Factors Consultant	Somewhat Disagree	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	No	Not appliciable	NA	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Somewhat Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	NA	NA	NA	NA	NA	NA	NA	NA	Multiple days spread across multiple weeks on the weekends	NA	NA	When your system' pace is slower than the instruction
102	25	2021-06-30T20:56:03Z	2021-06-30T21:02:06Z	IP Address	100	362	TRUE	2021-06-30T21:02:06Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Strongly Agree	Somewhat Agree	Somewhat Agree	Strongly Agree	Agree	Strongly Agree	No	No	NA	Strongly Agree	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	The instructor was very knowledgable and excited about teaching R.	NA	NA
103	35	2021-06-30T18:05:28Z	2021-06-30T19:32:36Z	IP Address	86	5227	FALSE	2021-07-07T19:32:38Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Undergraduate)	NA	NA	NA	Strongly Agree	Somewhat Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Strongly Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	NA	NA	NA
105	27	2021-06-30T21:00:29Z	2021-06-30T21:10:13Z	IP Address	100	583	TRUE	2021-06-30T21:10:13Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	PhD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Agree	Agree	Agree	Somewhat Agree	Agree	Strongly Agree	No	No	NA	Strongly Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I wouldn’t know where to start	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	Multiple days in a row about 1 hour each day	NA	NA	NA	The guide to follow along on a web browser	I would've liked the regression section to be a separate day
106	28	2021-06-30T20:56:06Z	2021-06-30T21:51:23Z	IP Address	100	3317	TRUE	2021-06-30T21:51:24Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	No	Not appliciable	NA	Agree	Somewhat Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Strongly Agree	Agree	Agree	Agree	Somewhat Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	Cannot think of any	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	Helped me fix a download problem so I could open the library we needed to use	ALL OF IT!  This was my first time using R and Dan did a great job making it not intimidating.  Really liked how he walked us through each step of the process and they built on each other.  I'm really glad I participated.	Wish there was a handout or hard copy of what commands we were going to be using (for easy access while coding)
107	31	2021-07-01T15:08:49Z	2021-07-01T15:18:32Z	IP Address	100	583	TRUE	2021-07-01T15:18:32Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Post Doc	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	Not appliciable	NA	Strongly Agree	Agree	Agree	Somewhat Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	NA	NA	NA	NA	NA	NA	Multiple days in a row about 1 hour each day	NA	NA	The slides provided and the answers to questions really helped the learning experience	Dan is a good teacher and I got a lot out of the topics, and the sections on data organizing and tidying into different formats for different purposes will be useful even if I don't end up working in R	The sessions were a tiny bit long, but I do think it's manageable. Also I think the linear regression section is a little hard to follow for someone without previous statistical experience. But besides that, great workshop!
110	26	2021-06-30T20:44:33Z	2021-06-30T21:05:23Z	IP Address	100	1250	TRUE	2021-06-30T21:05:24Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Strongly Agree	Somewhat Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	Can't think of anything that was obviously missing	None	NA	NA	NA	NA	Multiple days in a row about 1 hour each day	NA	NA	Answered questions when asked	Instructor did a great job being energetic and lively	3 hours is pretty long, but it didn't feel unbearable or like it dragged on because each topic flowed into the next very organically.
112	33	2021-07-06T14:19:00Z	2021-07-06T14:26:07Z	IP Address	100	427	TRUE	2021-07-06T14:26:08Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Research Assistant	Agree	Somewhat Disagree	Agree	Agree	Agree	Agree	No	No	NA	Strongly Agree	Strongly Disagree	Somewhat Agree	Somewhat Disagree	Disagree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Somewhat Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree	Somewhat Disagree	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	NA	NA	NA	NA	NA	NA	Multiple days in a row about 1 hour each day	NA	NA	NA	The instructor was friendly and very prepared	It seemed to move too quickly sometimes
114	30	2021-07-01T15:06:43Z	2021-07-01T15:11:54Z	IP Address	100	310	TRUE	2021-07-01T15:11:54Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, June 29, 2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Undergraduate)	NA	NA	NA	Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	No	NA	Agree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	n/a	n/a	NA	NA	2 days about 2-3 hours each on the weekday	NA	NA	NA	NA	made R seem less intimidating since the instructor was very knowledgable	good pacing	n/a
117	39	2021-09-22T18:00:52Z	2021-09-22T18:06:18Z	IP Address	100	325	TRUE	2021-09-22T18:06:18Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	Monday Sept 20	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	Strongly Agree	Agree	Strongly Agree	No	No	NA	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	NA	NA	NA	NA	2 days about 2-3 hours each on the weekday	NA	Multiple days in a row about 1 hour each day	Multiple days spread across multiple weeks on the weekdays	NA	NA	Following along	Little time to ask questions in the middle of the session if you get lost, could not always see the code on the screen, would have been good to go over a few basic R ""grammer"" things like the use of quotes and parentheses
